,Module (54),Function (54),Class (54),Calls (54),Self Time (54),Total Time (54),Self Wait Time (54),Total Wait Time (54),Callers (54),Callees (54),Module Path (54),Source File (54),% in function (54),Average Self time per call (54),Average Total time per call (54)
Total,,,,35106138,48907332,,38890546,,,,,,,,
,NTDLL.DLL - Total,,,606301,39649108,,38695702,,,,,,,,
,NTDLL.DLL,NtDelayExecution,,1681,27027844,27027844,26193938,26193938,1,0,C:\WINDOWS\system32\,,1,16.08,16.08
,NTDLL.DLL,NtWaitForMultipleObjects,,120,10270400,10270400,10270405,10270405,1,0,C:\WINDOWS\system32\,,1,85.59,85.59
,NTDLL.DLL,NtWaitForSingleObject,,4110,1753955,1753955,1744173,1744173,1,0,C:\WINDOWS\system32\,,1,0.43,0.43
,NTDLL.DLL,RtlLeaveCriticalSection,,288340,500362,500362,472723,472723,11,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlEnterCriticalSection,,288340,35488,35488,4574,4574,11,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,NtWriteFile,,1077,25531,25531,51,51,1,0,C:\WINDOWS\system32\,,1,0.02,0.02
,NTDLL.DLL,RtlAllocateHeap,,7694,11607,11607,26,26,13,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,NtReleaseSemaphore,,674,10108,10108,9267,9267,1,0,C:\WINDOWS\system32\,,1,0.01,0.01
,NTDLL.DLL,RtlFreeHeap,,6027,6334,6334,365,365,9,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlValidateHeap,,6041,2251,2251,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,NtCreateFile,,10,1739,1739,0,0,1,0,C:\WINDOWS\system32\,,1,0.17,0.17
,NTDLL.DLL,CsrClientCallServer,,28,664,664,180,180,15,0,C:\WINDOWS\system32\,,1,0.02,0.02
,NTDLL.DLL,NtCreateSemaphore,,512,617,617,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,NtReadFile,,60,614,614,0,0,1,0,C:\WINDOWS\system32\,,1,0.01,0.01
,NTDLL.DLL,NtClose,,13,407,407,0,0,3,0,C:\WINDOWS\system32\,,1,0.03,0.03
,NTDLL.DLL,NtCreateThread,,12,295,295,0,0,1,0,C:\WINDOWS\system32\,,1,0.02,0.02
,NTDLL.DLL,RtlInitializeCriticalSection,,278,113,113,0,0,2,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,LdrGetDllHandle,,53,102,102,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,LdrGetProcedureAddress,,65,96,96,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,NtOpenThread,,12,87,87,0,0,1,0,C:\WINDOWS\system32\,,1,0.01,0.01
,NTDLL.DLL,NtAllocateVirtualMemory,,24,86,86,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlDecodePointer,,324,62,62,0,0,2,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlEncodePointer,,244,41,41,0,0,2,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,NtOpenFile,,3,32,32,0,0,1,0,C:\WINDOWS\system32\,,1,0.01,0.01
,NTDLL.DLL,NtProtectVirtualMemory,,12,32,32,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,NtMapViewOfSection,,3,23,23,0,0,2,0,C:\WINDOWS\system32\,,1,0.01,0.01
,NTDLL.DLL,NtQueryDirectoryFile,,3,22,22,0,0,1,0,C:\WINDOWS\system32\,,1,0.01,0.01
,NTDLL.DLL,NtResumeThread,,12,20,20,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlDosPathNameToRelativeNtPathName_U_WithStatus,,10,20,20,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,NtQueryInformationThread,,24,16,16,0,0,2,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlQueryEnvironmentVariable_U,,5,16,16,0,0,2,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlInitializeCriticalSectionAndSpinCount,,37,15,15,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,CsrNewThread,,12,12,12,0,0,12,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,NtQueryAttributesFile,,1,12,12,0,0,1,0,C:\WINDOWS\system32\,,1,0.01,0.01
,NTDLL.DLL,NtQueryVolumeInformationFile,,10,11,11,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlCreateHeap,,1,11,11,0,0,1,0,C:\WINDOWS\system32\,,1,0.01,0.01
,NTDLL.DLL,RtlQueryInformationActivationContext,,12,9,9,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,NtTerminateProcess,,1,8,8,0,0,1,0,C:\WINDOWS\system32\,,1,0.01,0.01
,NTDLL.DLL,RtlAllocateActivationContextStack,,12,7,7,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,wcslen,,61,7,7,0,0,3,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,NtOpenSection,,1,6,6,0,0,1,0,C:\WINDOWS\system32\,,1,0.01,0.01
,NTDLL.DLL,LdrFindResourceDirectory_U,,2,4,4,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlDeleteCriticalSection,,21,3,3,0,0,3,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlDosPathNameToRelativeNtPathName_U,,3,3,3,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlImageNtHeader,,25,3,3,0,0,14,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlNtStatusToDosError,,53,3,3,0,0,5,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,NtQueryVirtualMemory,,2,2,2,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,NtSetInformationProcess,,2,1,1,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlDosPathNameToNtPathName_U,,1,1,1,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlFindActivationContextSectionString,,1,1,1,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlInitAnsiStringEx,,11,1,1,0,0,2,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlInitString,,66,1,1,0,0,2,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlInitUnicodeString,,68,1,1,0,0,6,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlReAllocateHeap,,1,1,1,0,0,1,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,RtlReleaseRelativeName,,13,1,1,0,0,2,0,C:\WINDOWS\system32\,,1,0,0
,NTDLL.DLL,LdrDisableThreadCalloutsForDll,,1,0,0,0,0,1,0,C:\WINDOWS\system32\,,0,0,0
,NTDLL.DLL,LdrLockLoaderLock,,3,0,0,0,0,1,0,C:\WINDOWS\system32\,,0,0,0
,NTDLL.DLL,LdrUnlockLoaderLock,,3,0,0,0,0,1,0,C:\WINDOWS\system32\,,0,0,0
,NTDLL.DLL,memmove,,8,0,0,0,0,1,0,C:\WINDOWS\system32\,,0,0,0
,NTDLL.DLL,NtQueryInformationProcess,,2,0,0,0,0,1,0,C:\WINDOWS\system32\,,0,0,0
,NTDLL.DLL,NtQueryPerformanceCounter,,1,0,0,0,0,1,0,C:\WINDOWS\system32\,,0,0,0
,NTDLL.DLL,NtSetInformationThread,,1,0,0,0,0,1,0,C:\WINDOWS\system32\,,0,0,0
,NTDLL.DLL,RtlAcquirePebLock,,19,0,0,0,0,7,0,C:\WINDOWS\system32\,,0,0,0
,NTDLL.DLL,RtlAnsiStringToUnicodeString,,1,0,0,0,0,1,0,C:\WINDOWS\system32\,,0,0,0
,NTDLL.DLL,RtlDetermineDosPathNameType_U,,1,0,0,0,0,1,0,C:\WINDOWS\system32\,,0,0,0
,NTDLL.DLL,RtlFindClearBitsAndSet,,2,0,0,0,0,2,0,C:\WINDOWS\system32\,,0,0,0
,NTDLL.DLL,RtlFreeAnsiString,,3,0,0,0,0,2,0,C:\WINDOWS\system32\,,0,0,0
